A,B,C,D,E,F,G,H,I,J,K
69,36,33,23,83,46,30,40,11,18,74
54,55,72,59,26,21,90,36,78,47,52
89,68,16,59,73,34,19,87,33,72,47
72,97,89,90,75,11,22,98,51,30,60
56,100,59,65,18,25,42,35,74,21,38
87,92,79,23,59,45,96,61,97,37,20
11,38,83,17,51,92,54,98,47,13,19
76,96,76,23,51,71,31,67,84,38,19
83,58,97,78,53,63,45,92,41,100,32
61,31,94,13,60,89,69,61,94,68,33
30,72,92,84,22,28,92,84,87,48,70
100,74,90,51,23,83,36,36,58,42,86
73,79,30,13,73,28,42,90,13,77,91
88,16,81,67,74,43,100,64,97,91,80
81,84,40,92,22,55,64,12,67,18,11
12,59,11,57,46,73,76,62,19,22,95
43,67,83,12,39,64,89,88,50,58,20
83,90,95,16,47,96,30,39,82,11,34
78,21,97,17,33,43,18,10,98,96,63
94,47,35,57,74,23,24,41,34,100,69
48,41,82,66,13,21,85,38,97,16,58
36,46,25,24,21,72,26,55,48,68,92
81,35,43,13,93,74,22,17,29,34,78
22,66,35,95,46,23,20,73,70,11,27
93,39,86,59,100,72,23,26,95,94,47
40,98,40,90,10,49,13,83,60,90,63
77,84,74,81,59,64,12,64,91,89,79
89,79,82,16,36,35,67,32,100,59,68
100,56,80,69,27,81,100,62,44,67,75
97,52,36,66,50,22,53,78,71,67,32
16,21,37,97,19,91,96,59,55,72,34
78,67,61,33,51,29,87,80,80,77,61
